,matchday,games,home,away
0,1,1,1. FC Union Berlin ,Bayer 04 Leverkusen 
1,1,38,Arminia Bielefeld ,TSG Hoffenheim 
2,1,42,Hertha BSC ,SpVgg Greuther Fürth 
3,1,62,VfL Wolfsburg ,Bor. Mönchengladbach 
4,1,106,SC Freiburg ,Eintracht Frankfurt 
5,1,123,FC Augsburg ,VfL Bochum 
6,1,142,VfB Stuttgart ,Bayern München 
7,1,155,RB Leipzig ,1. FSV Mainz 05 
8,1,238,1. FC Köln ,Borussia Dortmund 
9,2,52,TSG Hoffenheim ,VfL Wolfsburg 
10,2,88,SC Freiburg ,SpVgg Greuther Fürth 
11,2,126,1. FC Köln ,FC Augsburg 
12,2,172,Bor. Mönchengladbach ,1. FC Union Berlin 
13,2,192,VfL Bochum ,Bayern München 
14,2,227,Borussia Dortmund ,Arminia Bielefeld 
15,2,239,RB Leipzig ,Eintracht Frankfurt 
16,2,246,Bayer 04 Leverkusen ,Hertha BSC 
17,2,267,1. FSV Mainz 05 ,VfB Stuttgart 
18,3,33,SpVgg Greuther Fürth ,VfL Wolfsburg 
19,3,67,Eintracht Frankfurt ,Hertha BSC 
20,3,82,Arminia Bielefeld ,1. FSV Mainz 05 
21,3,92,Bayern München ,SC Freiburg 
22,3,97,VfL Bochum ,TSG Hoffenheim 
23,3,141,FC Augsburg ,RB Leipzig 
24,3,196,Bayer 04 Leverkusen ,VfB Stuttgart 
25,3,200,Borussia Dortmund ,Bor. Mönchengladbach 
26,3,243,1. FC Union Berlin ,1. FC Köln 
27,4,70,SpVgg Greuther Fürth ,VfL Bochum 
28,4,129,Hertha BSC ,Arminia Bielefeld 
29,4,176,TSG Hoffenheim ,Borussia Dortmund 
30,4,180,FC Augsburg ,1. FC Union Berlin 
31,4,183,VfB Stuttgart ,Eintracht Frankfurt 
32,4,185,1. FC Köln ,SC Freiburg 
33,4,236,VfL Wolfsburg ,Bayer 04 Leverkusen 
34,4,280,1. FSV Mainz 05 ,Bayern München 
35,4,283,Bor. Mönchengladbach ,RB Leipzig 
36,5,4,Bor. Mönchengladbach ,Bayern München 
37,5,13,RB Leipzig ,VfB Stuttgart 
38,5,35,VfL Bochum ,Hertha BSC 
39,5,73,1. FSV Mainz 05 ,FC Augsburg 
40,5,110,Eintracht Frankfurt ,1. FC Union Berlin 
41,5,116,VfL Wolfsburg ,Borussia Dortmund 
42,5,119,Arminia Bielefeld ,1. FC Köln 
43,5,120,Bayer 04 Leverkusen ,SpVgg Greuther Fürth 
44,5,131,SC Freiburg ,TSG Hoffenheim 
45,6,10,Bayern München ,1. FC Köln 
46,6,12,Hertha BSC ,VfL Wolfsburg 
47,6,128,Eintracht Frankfurt ,Bayer 04 Leverkusen 
48,6,140,Borussia Dortmund ,SpVgg Greuther Fürth 
49,6,159,TSG Hoffenheim ,FC Augsburg 
50,6,182,Arminia Bielefeld ,Bor. Mönchengladbach 
51,6,206,VfB Stuttgart ,VfL Bochum 
52,6,208,1. FC Union Berlin ,1. FSV Mainz 05 
53,6,222,RB Leipzig ,SC Freiburg 
54,7,79,VfL Bochum ,Eintracht Frankfurt 
55,7,104,Borussia Dortmund ,VfB Stuttgart 
56,7,121,Bor. Mönchengladbach ,SC Freiburg 
57,7,169,1. FC Union Berlin ,TSG Hoffenheim 
58,7,217,Bayern München ,Bayer 04 Leverkusen 
59,7,230,SpVgg Greuther Fürth ,RB Leipzig 
60,7,253,1. FC Köln ,1. FSV Mainz 05 
61,7,254,VfL Wolfsburg ,Arminia Bielefeld 
62,7,264,FC Augsburg ,Hertha BSC 
63,8,78,VfB Stuttgart ,1. FC Union Berlin 
64,8,91,1. FSV Mainz 05 ,Bor. Mönchengladbach 
65,8,147,Hertha BSC ,Borussia Dortmund 
66,8,171,VfL Bochum ,1. FC Köln 
67,8,210,Eintracht Frankfurt ,Bayern München 
68,8,221,Arminia Bielefeld ,FC Augsburg 
69,8,233,SC Freiburg ,VfL Wolfsburg 
70,8,265,Bayer 04 Leverkusen ,RB Leipzig 
71,8,266,TSG Hoffenheim ,SpVgg Greuther Fürth 
72,9,102,Bayer 04 Leverkusen ,VfL Bochum 
73,9,108,1. FC Köln ,Bor. Mönchengladbach 
74,9,135,1. FC Union Berlin ,SC Freiburg 
75,9,148,RB Leipzig ,Arminia Bielefeld 
76,9,160,SpVgg Greuther Fürth ,VfB Stuttgart 
77,9,211,FC Augsburg ,Borussia Dortmund 
78,9,277,Eintracht Frankfurt ,TSG Hoffenheim 
79,9,289,Hertha BSC ,1. FSV Mainz 05 
80,9,298,VfL Wolfsburg ,Bayern München 
81,10,63,1. FC Union Berlin ,VfL Wolfsburg 
82,10,95,SpVgg Greuther Fürth ,Eintracht Frankfurt 
83,10,181,Borussia Dortmund ,Bayer 04 Leverkusen 
84,10,184,Bayern München ,RB Leipzig 
85,10,187,1. FSV Mainz 05 ,TSG Hoffenheim 
86,10,194,Bor. Mönchengladbach ,FC Augsburg 
87,10,212,SC Freiburg ,Hertha BSC 
88,10,290,VfL Bochum ,Arminia Bielefeld 
89,10,297,VfB Stuttgart ,1. FC Köln 
90,11,9,Bayer 04 Leverkusen ,Bor. Mönchengladbach 
91,11,25,VfB Stuttgart ,SC Freiburg 
92,11,54,1. FC Köln ,SpVgg Greuther Fürth 
93,11,89,TSG Hoffenheim ,Hertha BSC 
94,11,105,FC Augsburg ,Bayern München 
95,11,158,Eintracht Frankfurt ,Borussia Dortmund 
96,11,170,1. FSV Mainz 05 ,VfL Bochum 
