,home_team,away_team,home_goals,away_goals,home_goals_half,away_goals_half,matchweek
0,Bor. Mönchengladbach ,Bayern München ,1,1,1,1,1
1,VfL Wolfsburg ,VfL Bochum ,1,0,1,0,1
2,1. FC Union Berlin ,Bayer 04 Leverkusen ,1,1,1,1,1
3,VfB Stuttgart ,SpVgg Greuther Fürth ,5,1,2,0,1
4,FC Augsburg ,TSG Hoffenheim ,0,4,0,1,1
5,Arminia Bielefeld ,SC Freiburg ,0,0,0,0,1
6,Borussia Dortmund ,Eintracht Frankfurt ,5,2,3,1,1
7,1. FSV Mainz 05 ,RB Leipzig ,1,0,1,0,1
8,1. FC Köln ,Hertha BSC ,3,1,1,1,1
9,RB Leipzig ,VfB Stuttgart ,4,0,1,0,2
10,Eintracht Frankfurt ,FC Augsburg ,0,0,0,0,2
11,SC Freiburg ,Borussia Dortmund ,2,1,1,0,2
12,Hertha BSC ,VfL Wolfsburg ,1,2,0,0,2
13,VfL Bochum ,1. FSV Mainz 05 ,2,0,1,0,2
14,SpVgg Greuther Fürth ,Arminia Bielefeld ,1,1,0,1,2
15,Bayer 04 Leverkusen ,Bor. Mönchengladbach ,4,0,2,0,2
16,TSG Hoffenheim ,1. FC Union Berlin ,2,2,2,1,2
17,Bayern München ,1. FC Köln ,3,2,0,0,2
18,Borussia Dortmund ,TSG Hoffenheim ,3,2,0,0,3
19,VfB Stuttgart ,SC Freiburg ,2,3,2,3,3
20,1. FSV Mainz 05 ,SpVgg Greuther Fürth ,3,0,2,0,3
21,FC Augsburg ,Bayer 04 Leverkusen ,1,4,1,2,3
22,Arminia Bielefeld ,Eintracht Frankfurt ,1,1,0,1,3
23,1. FC Köln ,VfL Bochum ,2,1,0,0,3
24,Bayern München ,Hertha BSC ,5,0,2,0,3
25,1. FC Union Berlin ,Bor. Mönchengladbach ,2,1,2,0,3
26,VfL Wolfsburg ,RB Leipzig ,1,0,0,0,3
27,Bayer 04 Leverkusen ,Borussia Dortmund ,3,4,2,1,4
28,1. FC Union Berlin ,FC Augsburg ,0,0,0,0,4
29,SC Freiburg ,1. FC Köln ,1,1,0,1,4
30,TSG Hoffenheim ,1. FSV Mainz 05 ,0,2,0,1,4
31,SpVgg Greuther Fürth ,VfL Wolfsburg ,0,2,0,1,4
32,RB Leipzig ,Bayern München ,1,4,0,1,4
33,Eintracht Frankfurt ,VfB Stuttgart ,1,1,0,0,4
34,VfL Bochum ,Hertha BSC ,1,3,0,2,4
35,Bor. Mönchengladbach ,Arminia Bielefeld ,3,1,1,1,4
36,Hertha BSC ,SpVgg Greuther Fürth ,2,1,0,0,5
37,Bayern München ,VfL Bochum ,7,0,4,0,5
38,1. FSV Mainz 05 ,SC Freiburg ,0,0,0,0,5
39,FC Augsburg ,Bor. Mönchengladbach ,1,0,0,0,5
40,Arminia Bielefeld ,TSG Hoffenheim ,0,0,0,0,5
41,1. FC Köln ,RB Leipzig ,1,1,0,0,5
42,VfB Stuttgart ,Bayer 04 Leverkusen ,1,3,1,2,5
43,Borussia Dortmund ,1. FC Union Berlin ,4,2,2,0,5
44,VfL Wolfsburg ,Eintracht Frankfurt ,1,1,0,1,5
45,SpVgg Greuther Fürth ,Bayern München ,1,3,0,2,6
46,RB Leipzig ,Hertha BSC ,6,0,3,0,6
47,Eintracht Frankfurt ,1. FC Köln ,1,1,1,1,6
48,Bayer 04 Leverkusen ,1. FSV Mainz 05 ,1,0,0,0,6
49,1. FC Union Berlin ,Arminia Bielefeld ,1,0,0,0,6
50,TSG Hoffenheim ,VfL Wolfsburg ,3,1,1,1,6
51,Bor. Mönchengladbach ,Borussia Dortmund ,1,0,1,0,6
52,VfL Bochum ,VfB Stuttgart ,0,0,0,0,6
53,SC Freiburg ,FC Augsburg ,3,0,3,0,6
54,1. FC Köln ,SpVgg Greuther Fürth ,3,1,0,1,7
55,Borussia Dortmund ,FC Augsburg ,2,1,1,1,7
56,VfL Wolfsburg ,Bor. Mönchengladbach ,1,3,1,2,7
57,VfB Stuttgart ,TSG Hoffenheim ,3,1,1,0,7
58,Hertha BSC ,SC Freiburg ,1,2,0,1,7
59,RB Leipzig ,VfL Bochum ,3,0,0,0,7
60,1. FSV Mainz 05 ,1. FC Union Berlin ,1,2,1,0,7
61,Bayern München ,Eintracht Frankfurt ,1,2,1,1,7
62,Arminia Bielefeld ,Bayer 04 Leverkusen ,0,4,0,2,7
63,TSG Hoffenheim ,1. FC Köln ,5,0,1,0,8
64,Borussia Dortmund ,1. FSV Mainz 05 ,3,1,1,0,8
65,Eintracht Frankfurt ,Hertha BSC ,1,2,0,1,8
66,1. FC Union Berlin ,VfL Wolfsburg ,2,0,0,0,8
67,SC Freiburg ,RB Leipzig ,1,1,0,1,8
68,SpVgg Greuther Fürth ,VfL Bochum ,0,1,0,0,8
69,Bor. Mönchengladbach ,VfB Stuttgart ,1,1,1,1,8
70,Bayer 04 Leverkusen ,Bayern München ,1,5,0,5,8
71,FC Augsburg ,Arminia Bielefeld ,1,1,1,0,8
72,1. FSV Mainz 05 ,FC Augsburg ,4,1,3,0,9
73,Bayern München ,TSG Hoffenheim ,4,0,2,0,9
74,RB Leipzig ,SpVgg Greuther Fürth ,4,1,0,1,9
